,"Unnamed: 0.1","Unnamed: 0","id","region","startdate","enddate","confidence","buildfromzero","relchangepercentage","algidentificationdate","algversion","dateDifference","geometry","class","run_date","geog","geometry_wkt","query","sql"
0,0,0,"detectionsWithParams.fid-1231113e_193498dfb0e_bdf","Lebanon","2023-06-04","2024-07-18",0.33,"True",43.0359770064833,"2024-11-14",0.82,13.6666666666667,"01030000000100000005000000C768780EC0A941409203FA6D1DBD4040DD9DAD6AE6AA41409203FA6D1DBD4040DD9DAD6AE6AA4140EA9E0AF212BE4040C768780EC0A94140EA9E0AF212BE4040C768780EC0A941409203FA6D1DBD4040","Airport","2024-07-18","0103000020E61000000100000005000000C768780EC0A941409203FA6D1DBD4040DD9DAD6AE6AA41409203FA6D1DBD4040DD9DAD6AE6AA4140EA9E0AF212BE4040C768780EC0A94140EA9E0AF212BE4040C768780EC0A941409203FA6D1DBD4040","POLYGON((35.3261736 33.47746062,35.33515676 33.47746062,35.33515676 33.48495317,35.3261736 33.48495317,35.3261736 33.47746062))","Identify new residential areas developed in open spaces within 10 kilometers south of Aaddoussiyeh in June 2023.","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.class = 'Residential' 
AND ce.buildfromzero=True 
AND ce.enddate >= '2023-06-01' 
AND ce.enddate < '2023-07-01' 
AND ST_DWithin(ce.geog::geography, locations_store.""aaddoussiyeh"", 10000) 
AND ST_YMax(Box2d(ce.geog::geometry)) < ST_YMin(Box2d(locations_store.""aaddoussiyeh""))
```"
1,1,1,"detectionsWithParams.fid-1231113e_193498dfb0e_be0","Lebanon","2023-08-03","2024-09-21",0.33,"False",20.0159508467674,"2024-11-14",0.82,13.8333333333333,"01030000000100000005000000DD9DAD6AE6AA4140FA607C45759C40406559CDC60CAC4140FA607C45759C40406559CDC60CAC4140AB2604826B9D4040DD9DAD6AE6AA4140AB2604826B9D4040DD9DAD6AE6AA4140FA607C45759C4040","Other","2024-09-21","0103000020E61000000100000005000000DD9DAD6AE6AA4140FA607C45759C40406559CDC60CAC4140FA607C45759C40406559CDC60CAC4140AB2604826B9D4040DD9DAD6AE6AA4140AB2604826B9D4040DD9DAD6AE6AA4140FA607C45759C4040","POLYGON((35.33515676 33.22232884,35.34413991 33.22232884,35.34413991 33.22984338,35.33515676 33.22984338,35.33515676 33.22232884))","What new highways are within 10 kilometers of Mahrouna?","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.class = 'Highway' 
AND ce.buildfromzero=True 
AND ST_DWithin(ce.geog::geography, locations_store.""mahrouna"", 10000)
```"
2,2,2,"detectionsWithParams.fid-1231113e_193498dfb0e_be1","Lebanon","2023-08-28","2024-10-01",0.33,"False",16.8110183660243,"2024-11-14",0.82,13.3333333333333,"01030000000100000005000000DD9DAD6AE6AA4140A4882DB9619E40406559CDC60CAC4140A4882DB9619E40406559CDC60CAC4140560DE3EA579F4040DD9DAD6AE6AA4140560DE3EA579F4040DD9DAD6AE6AA4140A4882DB9619E4040","Residential","2024-10-01","0103000020E61000000100000005000000DD9DAD6AE6AA4140A4882DB9619E40406559CDC60CAC4140A4882DB9619E40406559CDC60CAC4140560DE3EA579F4040DD9DAD6AE6AA4140560DE3EA579F4040DD9DAD6AE6AA4140A4882DB9619E4040","POLYGON((35.33515676 33.23735728,35.34413991 33.23735728,35.34413991 33.24487053,35.33515676 33.24487053,35.33515676 33.23735728))","What open areas in Jouaiya have been developed or converted into new built-up areas?","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.buildfromzero=True AND ST_Intersects(ce.geog, locations_store.""jouaiya"")
```"
3,3,3,"detectionsWithParams.fid-1231113e_193498dfb0e_be2","Lebanon","2023-07-04","2024-09-16",0.33,"False",25.2943885164576,"2024-11-14",0.82,14.6666666666667,"01030000000100000005000000DD9DAD6AE6AA4140560DE3EA579F40406559CDC60CAC4140560DE3EA579F40406559CDC60CAC4140C0B424174EA04040DD9DAD6AE6AA4140C0B424174EA04040DD9DAD6AE6AA4140560DE3EA579F4040","Residential","2024-09-16","0103000020E61000000100000005000000DD9DAD6AE6AA4140560DE3EA579F40406559CDC60CAC4140560DE3EA579F40406559CDC60CAC4140C0B424174EA04040DD9DAD6AE6AA4140C0B424174EA04040DD9DAD6AE6AA4140560DE3EA579F4040","POLYGON((35.33515676 33.24487053,35.34413991 33.24487053,35.34413991 33.25238313,35.33515676 33.25238313,35.33515676 33.24487053))","Identify new construction activity in open areas within 10 kilometers north of Debaal.","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.buildfromzero=True 
AND ST_DWithin(ce.geog::geography, locations_store.""debaal"", 10000) 
AND ST_YMin(Box2d(ce.geog::geometry)) > ST_YMax(box2d(locations_store.""debaal""))
```"
4,4,4,"detectionsWithParams.fid-1231113e_193498dfb0e_be3","Lebanon","2023-07-04","2024-08-02",0.33,"True",66.4035298740738,"2024-11-14",0.82,13.1666666666667,"01030000000100000005000000DD9DAD6AE6AA414072F8073E44A140406559CDC60CAC414072F8073E44A140406559CDC60CAC4140DC5E775F3AA24040DD9DAD6AE6AA4140DC5E775F3AA24040DD9DAD6AE6AA414072F8073E44A14040","Other","2024-08-02","0103000020E61000000100000005000000DD9DAD6AE6AA414072F8073E44A140406559CDC60CAC414072F8073E44A140406559CDC60CAC4140DC5E775F3AA24040DD9DAD6AE6AA4140DC5E775F3AA24040DD9DAD6AE6AA414072F8073E44A14040","POLYGON((35.33515676 33.25989509,35.34413991 33.25989509,35.34413991 33.2674064,35.33515676 33.2674064,35.33515676 33.25989509))","Identify new developments or transformations in open areas within Barish.","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.buildfromzero=True AND ST_Intersects(ce.geog, locations_store.""barish"")
```"
5,5,5,"detectionsWithParams.fid-1231113e_193498dfb0e_be4","Lebanon","2023-07-24","2024-10-31",0.33,"False",16.4350797496425,"2024-11-14",0.82,15.5,"01030000000100000005000000DD9DAD6AE6AA41408E61887B30A340406559CDC60CAC41408E61887B30A340406559CDC60CAC4140F886259226A44040DD9DAD6AE6AA4140F886259226A44040DD9DAD6AE6AA41408E61887B30A34040","Airport","2024-10-31","0103000020E61000000100000005000000DD9DAD6AE6AA41408E61887B30A340406559CDC60CAC41408E61887B30A340406559CDC60CAC4140F886259226A44040DD9DAD6AE6AA4140F886259226A44040DD9DAD6AE6AA41408E61887B30A34040","POLYGON((35.33515676 33.27491707,35.34413991 33.27491707,35.34413991 33.28242709,35.33515676 33.28242709,35.33515676 33.27491707))","Are there new airports in Maaroub?","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, 
       ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.class = 'Airport' 
  AND ST_Intersects(ce.geog, locations_store.""maaroub"");
```"
6,6,6,"detectionsWithParams.fid-1231113e_193498dfb0e_be5","Lebanon","2023-06-14","2024-03-30",0.33,"True",57.6895163998201,"2024-11-14",0.82,9.66666666666667,"01030000000100000005000000DD9DAD6AE6AA41401BCF4EA31CA540406559CDC60CAC41401BCF4EA31CA540406559CDC60CAC414085B319AF12A64040DD9DAD6AE6AA414085B319AF12A64040DD9DAD6AE6AA41401BCF4EA31CA54040","Other","2024-03-30","0103000020E61000000100000005000000DD9DAD6AE6AA41401BCF4EA31CA540406559CDC60CAC41401BCF4EA31CA540406559CDC60CAC414085B319AF12A64040DD9DAD6AE6AA414085B319AF12A64040DD9DAD6AE6AA41401BCF4EA31CA54040","POLYGON((35.33515676 33.28993646,35.34413991 33.28993646,35.34413991 33.29744519,35.33515676 33.29744519,35.33515676 33.28993646))","Identify changes in the road network in Maaroub.","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.class = 'Highway' 
AND ST_Intersects(ce.geog, locations_store.""maaroub"")
```"
7,7,7,"detectionsWithParams.fid-1231113e_193498dfb0e_be6","Lebanon","2023-02-19","2024-04-19",0.33,"False",34.1231532589399,"2024-11-14",0.82,14.1666666666667,"01030000000100000005000000DD9DAD6AE6AA414085B319AF12A640406559CDC60CAC414085B319AF12A640406559CDC60CAC4140A8BA70B508A74040DD9DAD6AE6AA4140A8BA70B508A74040DD9DAD6AE6AA414085B319AF12A64040","Airport","2024-04-19","0103000020E61000000100000005000000DD9DAD6AE6AA414085B319AF12A640406559CDC60CAC414085B319AF12A640406559CDC60CAC4140A8BA70B508A74040DD9DAD6AE6AA4140A8BA70B508A74040DD9DAD6AE6AA414085B319AF12A64040","POLYGON((35.33515676 33.29744519,35.34413991 33.29744519,35.34413991 33.30495327,35.33515676 33.30495327,35.33515676 33.29744519))","What are the changes in land use around Tayr Falsay in open areas?","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, 
       ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.buildfromzero=True 
  AND ST_DWithin(ce.geog::geography, locations_store.""tayr_falsay"", 10000);
```"
8,8,8,"detectionsWithParams.fid-1231113e_193498dfb0e_be7","Lebanon","2023-07-04","2023-12-31",0.33,"True",79.6641579428138,"2024-11-14",0.82,6,"01030000000100000005000000DD9DAD6AE6AA4140110DFFA7EAA940406559CDC60CAC4140110DFFA7EAA940406559CDC60CAC41403492B198E0AA4040DD9DAD6AE6AA41403492B198E0AA4040DD9DAD6AE6AA4140110DFFA7EAA94040","Airport","2023-12-31","0103000020E61000000100000005000000DD9DAD6AE6AA4140110DFFA7EAA940406559CDC60CAC4140110DFFA7EAA940406559CDC60CAC41403492B198E0AA4040DD9DAD6AE6AA41403492B198E0AA4040DD9DAD6AE6AA4140110DFFA7EAA94040","POLYGON((35.33515676 33.32747364,35.34413991 33.32747364,35.34413991 33.33497914,35.33515676 33.33497914,35.33515676 33.32747364))","Give me new industrial areas developed in the southern part of Zrariyeh in July 2023.","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.class = 'Industrial' 
AND ce.buildfromzero=True 
AND ce.startdate >= '2023-07-01' 
AND ce.enddate <= '2023-07-31' 
AND ST_Intersects(ce.geog, locations_store.""zrariyeh"") 
AND ST_YMax(Box2d(ce.geog::geometry)) < ST_y(ST_Centroid(locations_store.""zrariyeh""));
```"
9,9,9,"detectionsWithParams.fid-1231113e_193498dfb0e_be8","Lebanon","2023-05-30","2024-05-24",0.33,"True",86.9908427600724,"2024-11-14",0.82,12,"01030000000100000005000000DD9DAD6AE6AA414013F51F25B8AE40406559CDC60CAC414013F51F25B8AE40406559CDC60CAC414060A1A4FAADAF4040DD9DAD6AE6AA414060A1A4FAADAF4040DD9DAD6AE6AA414013F51F25B8AE4040","Other","2024-05-24","0103000020E61000000100000005000000DD9DAD6AE6AA414013F51F25B8AE40406559CDC60CAC414013F51F25B8AE40406559CDC60CAC414060A1A4FAADAF4040DD9DAD6AE6AA414060A1A4FAADAF4040DD9DAD6AE6AA414013F51F25B8AE4040","POLYGON((35.33515676 33.36499466,35.34413991 33.36499466,35.34413991 33.37249692,35.33515676 33.37249692,35.33515676 33.36499466))","Identify new construction or changes in undeveloped areas near Insar within a radius of 5 kilometers, focusing on changes related to 'Residential', 'Industrial', or 'Other' classes, using distance relations and cardinal directions if applicable, in the last 6 months.","```sql
SELECT ce.id, ce.class, ce.region, ce.startdate, ce.enddate, ce.buildfromzero, ce.confidence, ST_AsText(ce.geog) AS geometry_wkt 
FROM change_detection.change_events ce, locations_store 
WHERE ce.class IN ('Residential', 'Industrial', 'Other') 
AND ce.buildfromzero=True 
AND ce.enddate >= date_trunc('month', now()) - interval '6 month' 
AND ST_DWithin(ce.geog::geography, locations_store.""insar"", 5000)
```"
